Address,Bedroom_Number,Price,Distance
"9 Magazine St, Cambridge, MA",1,1850.0,1.1177149695877542
"9 Magazine St, Cambridge, MA",2,1050.0,1.1177149695877542
"250 Garden St, Cambridge, MA 02138",1,1750.0,1.340828257139291
"352 Harvard St, Cambridge, MA",1,1700.0,0.8535540963583189
"352 Harvard St, Cambridge, MA",2,1550.0,0.8535540963583189
"1105 Massachusetts Ave, Cambridge, MA",1,2100.0,0.7096290063201333
"1105 Massachusetts Ave, Cambridge, MA",2,1400.0,0.7096290063201333
" 62-66 Homer Ave, Cambridge, MA",1,1550.0,1.2378141715613737
" 62-66 Homer Ave, Cambridge, MA",1,1800.0,1.2378141715613737
" 62-66 Homer Ave, Cambridge, MA",2,1125.0,1.2378141715613737
" 89 Winter St, Cambridge, MA",3,1050.0,2.304265053624316
"1 Pine St, Cambridge, MA 02139",2,1850.0,1.4700537625305574
"61 Fayette St, Cambridge, MA",1,1750.0,1.2840234158758945
"923 Massachusetts Ave, Cambridge, MA 02139",2,1100.0,0.9063167149590484
"333 Harvard St, Cambridge, MA",3,916.6666666666666,0.6457953486406007
"157 Hamilton St #A, Cambridge, MA 02139",1,2200.0,1.1368975538008903
" 8 Davenport St, Cambridge, MA",3,1133.3333333333333,1.5373504531037654
" 8 Davenport St, Cambridge, MA",4,900.0,1.5373504531037654
"1172 Massachusetts Ave, Cambridge, MA",1,1600.0,0.6575795619278861
"1172 Massachusetts Ave, Cambridge, MA",1,1999.0,0.6575795619278861
"159 Erie St #A, Cambridge, MA 02139",1,2200.0,1.1503452381372128
"891 Massachusetts Ave, Cambridge, MA",2,1000.0,0.9656806267724328
"26 Andrew St, Cambridge, MA 02139",2,1250.0,0.8820975035558362
"Massachusetts Ave, Cambridge, MA 02139",1,2645.0,1.2875359039375198
"220 Western Ave, Cambridge, MA",2,1250.0,0.8442097779059584
"220 Western Ave, Cambridge, MA",3,816.6666666666666,0.8442097779059584
"5 Walden St, Cambridge, MA",2,1050.0,1.609966133333368
"156 Gore St, Cambridge, MA 02141",2,1175.0,2.1416637549987567
"Myrtle Ave, Cambridge, MA 02138",4,875.0,1.2022987713851208
"154 Gore St, Cambridge, MA",2,1100.0,2.158632853015763
"Porter St, Cambridge, MA 02141",1,2000.0,1.9892666081947106
"Harvard St, Cambridge, MA 02138",1,1850.0,0.6457953486406007
"6 Porter Rd, Cambridge, MA 02140",3,1000.0,1.491087729093076
"285 Harvard St, Cambridge, MA",1,1550.0,0.6457953486406007
"285 Harvard St, Cambridge, MA",1,1850.0,0.6457953486406007
"285 Harvard St, Cambridge, MA",2,1237.5,0.6457953486406007
"Bishop Allen Dr, Cambridge, MA 02139",3,916.6666666666666,1.268645823156305
"Columbia St, Cambridge, MA 02139",2,1000.0,1.4122425145708364
"279 Harvard St, Cambridge, MA",1,1700.0,0.6646217176659875
"132 Oxford St, Cambridge, MA",1,1800.0,1.3212249370657079
"132 Oxford St, Cambridge, MA",2,1000.0,1.3212249370657079
"27 Lambert St, Cambridge, MA",1,2100.0,2.059040747125664
"27 Lambert St, Cambridge, MA",2,1297.5,2.059040747125664
"27 Lambert St, Cambridge, MA",3,900.0,2.059040747125664
"93 Kirkland St, Cambridge, MA",2,1300.0,1.2093246848405599
"Prescott St, Cambridge, MA 02138",1,2100.0,0.7695184662351044
"303 Hurley St, Cambridge, MA",4,737.5,2.1845720576016516
"303 Hurley St, Cambridge, MA",8,862.5,2.1845720576016516
"40 Creighton St, Cambridge, MA",2,1250.0,1.5223182355887324
"40 Creighton St, Cambridge, MA",3,1200.0,1.5223182355887324
"48-50 Creighton St, Cambridge, MA 02140",3,800.0,1.5084888171618198
"4 Canal Park, Cambridge, MA",1,2300.0,2.6728045247566823
"4 Canal Park, Cambridge, MA",2,1825.0,2.6728045247566823
"4 Canal Park, Cambridge, MA",3,1433.3333333333333,2.6728045247566823
"18 Centre St, Cambridge, MA",1,1900.0,0.8930301292004803
"18 Centre St, Cambridge, MA",1,1900.0,0.8930301292004803
"Bowdoin St, Cambridge, MA 02138",2,1250.0,1.087437690425194
"Thorndike St, Cambridge, MA 02141",2,1250.0,2.2263416798033036
"10 Forest St, Cambridge, MA",1,3090.0,1.276470339270688
"54 Trowbridge St, Cambridge, MA 02138",3,1333.3333333333333,0.880007611620459
"Sargent St, Cambridge, MA 02140",4,1099.75,1.7087007204153724
"41 Linnaean St, Cambridge, MA 02138",2,1500.0,1.0969727818918467
"Prospect St, Cambridge, MA 02139",1,1750.0,1.1865753138029227
"138 Hampshire St, Cambridge, MA 02139",2,975.0,1.5219324755891943
"Harvard St, Cambridge, MA 02139",2,1150.0,1.3885652620480045
"Clarendon Ave, Somerville, MA 02144",2,1250.0,2.4061418964109373
"20 John F Kennedy St, Cambridge, MA",1,2200.0,0.5108362959306064
"Clarendon Ave, Somerville, MA 02144",2,1250.0,2.4061418964109373
"332 Franklin St, Cambridge, MA",2,1600.0,0.9984922349305901
"45 Tremont St, Cambridge, MA 02139",3,1466.6666666666667,1.4629624997832793
" 14 Centre St, Cambridge, MA",2,1350.0,0.909125415257038
"Woodbridge St, Cambridge, MA 02140",2,1200.0,1.9227272368255774
"287 Harvard St, Cambridge, MA",1,1950.0,0.6457953486406007
"287 Harvard St, Cambridge, MA",2,1300.0,0.6457953486406007
"287 Harvard St, Cambridge, MA",3,1200.0,0.6457953486406007
"19 Trowbridge St, Cambridge, MA",3,1166.6666666666667,0.7581300728854777
"19 Trowbridge St, Cambridge, MA",4,950.0,0.7581300728854777
"345 Harvard St, Cambridge, MA",1,2400.0,0.8942272626655556
"345 Harvard St, Cambridge, MA",2,1375.0,0.8942272626655556
