Addresses,Prices
"43 May St #B1, Cambridge, MA 02138","$1,900/mo
1 bd1 ba750 sqft"
"10 Museum Way, Cambridge, MA","$2,400+ 1 bd$2,950+ 2 bds"
"87 Amory St #1, Cambridge, MA 02139","$2,400/mo
2 bds1 ba680 sqft"
"47 Coolidge Hill Rd #8, Cambridge, MA 02138","$1,800/mo
2 bds1 ba1,000 sqft"
"618 Cambridge St, Cambridge, MA 02141","$5,000/mo
20 bds1 ba1,790 sqft"
"26 Garden St APT 1, Cambridge, MA 02138","$3,500/mo
2 bds1 ba-- sqft"
"24 Garden St, Cambridge, MA 02138","$3,500/mo
2 bds1 ba4,246 sqft"
"Magazine St, Cambridge, MA 02139","$2,475/mo
2 bds1 ba850 sqft"
"554 Green St #554, Cambridge, MA 02139","$3,000/mo
3 bds1 ba950 sqft"
"988 Memorial Dr, Cambridge, MA","$1,950+ 1 bd"
"275 Hurley St #3, Cambridge, MA 02141","$2,800/mo
3 bds1 ba950 sqft"
"281 Brookline St #1, Cambridge, MA 02139","$5,400/mo
3 bds2.5 ba1,893 sqft"
